cust_id,status,category,payment_method,E Mail,respond_to_discount,total_spent,total_discount_received,no_of_transactions,days_till_last_interaction,years_of_stay,age_binned_Children,age_binned_Younger_Age,age_binned_Middle_Age,age_binned_Old_age,Gender_F,Gender_M,Region_Midwest,Region_Northeast,Region_South,Region_West,cluster
798,complete,Appliances,easypay_voucher,celsa.durden@gmail.com,1,16031.725,1788.275,23,105,8,0,0,1,0,1,0,0,0,0,1,3
815,complete,Computing,Easypay,ezra.cappello@yahoo.co.uk,1,57132.125,11174.775,37,117,25,0,0,0,1,0,1,0,1,0,0,4
853,complete,Soghaat,cod,jeramy.balog@cox.net,1,4756.444,320.006,31,207,5,0,0,1,0,0,1,0,0,1,0,1
1006,complete,Mobiles & Tablets,Payaxis,floy.eldredge@yahoo.com,1,3490.015,252.185,32,166,26,0,0,0,1,1,0,1,0,0,0,1
1054,complete,Beauty & Grooming,easypay_voucher,glenn.blackstock@gmail.com,1,498.06,25.24,5,281,17,0,0,1,0,0,1,0,0,1,0,1
1075,complete,Beauty & Grooming,easypay_voucher,guillermo.haffner@yahoo.com,1,10353.22,1218.943,40,227,4,0,0,1,0,0,1,0,0,1,0,3
1187,complete,Appliances,easypay_voucher,nichol.roache@yahoo.com,1,30713.241,5945.259,13,100,4,0,0,1,0,1,0,1,0,0,0,0
1290,complete,Appliances,easypay_voucher,allen.labarbera@outlook.com,1,1098.36,242.04,3,369,37,0,0,1,0,1,0,0,0,1,0,1
1323,complete,Entertainment,Payaxis,nicole.nickles@gmail.com,1,23514.14,1752.36,26,327,17,0,0,1,0,1,0,0,0,0,1,0
1356,complete,Mobiles & Tablets,cod,kerry.weston@hotmail.com,1,1054.4,60,8,381,8,0,0,1,0,1,0,0,0,0,1,1
1401,complete,Mobiles & Tablets,easypay_voucher,eloy.lumsden@aol.com,1,5275.44,453.96,3,369,12,0,0,1,0,0,1,0,0,0,1,1
1425,complete,Men's Fashion,cod,leeanna.hutzler@gmail.com,1,2417.22,11.98,10,245,15,0,1,0,0,1,0,1,0,0,0,1
1462,complete,Appliances,Easypay,garret.oshea@aol.com,1,46774.77,7220.73,14,260,21,0,0,0,1,0,1,0,0,0,1,4
1530,complete,Men's Fashion,Easypay,dominick.ureno@hotmail.com,1,1523.94,27.96,5,157,7,0,0,1,0,0,1,0,0,0,1,1
1562,complete,Appliances,easypay_voucher,antione.lui@gmail.com,1,36423.14,251.88,22,109,19,0,0,1,0,0,1,1,0,0,0,0
1570,complete,Mobiles & Tablets,easypay_voucher,lionel.gamez@yahoo.com,1,9921.48,1986.92,5,369,16,0,0,1,0,0,1,1,0,0,0,3
1611,complete,Computing,Easypay,lorean.secrest@bellsouth.net,1,1100,100,2,376,14,0,0,1,0,1,0,0,1,0,0,1
1644,complete,Appliances,easypay_voucher,mose.prevatte@gmail.com,1,995.94,130.66,4,372,14,0,0,1,0,0,1,0,1,0,0,1
1647,complete,Mobiles & Tablets,easypay_voucher,norris.earle@hotmail.com,1,1735.36,307.84,2,138,26,0,0,1,0,0,1,1,0,0,0,1
1735,complete,Women's Fashion,cod,arnold.rook@outlook.com,1,843.32,77.68,7,199,16,0,1,0,0,0,1,0,0,1,0,1
1743,complete,Entertainment,Easypay,ora.henthorn@yahoo.com,1,12754.985,1953.415,15,127,22,0,0,1,0,1,0,1,0,0,0,3
1843,complete,Appliances,Easypay,alan.novoa@walmart.com,1,5717.769,351.431,7,100,25,0,0,1,0,0,1,0,1,0,0,1
1898,complete,Appliances,easypay_voucher,gonzalo.metzinger@ibm.com,1,9200.03,1126.77,16,106,17,0,0,1,0,0,1,0,1,0,0,3
2066,complete,Mobiles & Tablets,Easypay,ali.solberg@gmail.com,1,5014.3,1261.2,4,370,13,0,0,0,1,0,1,0,0,1,0,1
2083,complete,Appliances,Easypay,belinda.greeley@sbcglobal.net,1,5903.38,1525.22,10,355,4,0,1,0,0,1,0,0,0,0,1,1
2090,complete,Superstore,cod,torie.rainville@btinternet.com,1,5695.6,200,5,221,21,0,0,1,0,1,0,0,0,1,0,1
2110,complete,Entertainment,easypay_voucher,dominic.nelson@msn.com,1,16726.6,900.3,3,227,7,0,0,1,0,0,1,0,0,1,0,3
2119,complete,Entertainment,easypay_voucher,thaddeus.veatch@yahoo.ca,1,16941.17,1530.53,18,375,15,0,0,1,0,0,1,0,0,0,1,3
2151,complete,Mobiles & Tablets,easypay_voucher,evangeline.brunton@hotmail.co.uk,1,3591,609,3,376,6,0,0,0,1,1,0,1,0,0,0,1
2297,complete,Entertainment,Easypay_MA,harold.ingle@charter.net,1,39102.3,5377.6,32,201,4,0,0,1,0,0,1,0,1,0,0,0
2301,complete,Mobiles & Tablets,easypay_voucher,josue.tarbell@gmail.com,1,5735.14,843.96,5,358,5,0,0,1,0,0,1,1,0,0,0,1
2322,complete,Mobiles & Tablets,easypay_voucher,charity.rueb@gmail.com,1,64074.61,9520.49,33,198,22,0,0,1,0,1,0,0,1,0,0,4
2325,complete,Home & Living,cod,franklin.linhart@yahoo.com,1,568.125,67.775,14,416,27,0,0,0,1,0,1,0,0,1,0,1
2371,complete,Entertainment,Easypay,colton.boltz@gmail.com,1,6248.16,1374.84,10,320,5,0,0,0,1,0,1,0,0,1,0,1
2435,complete,Mobiles & Tablets,easypay_voucher,ty.staub@yahoo.ca,1,1829.3,280,1,376,9,0,0,1,0,0,1,1,0,0,0,1
2447,complete,Computing,Easypay,bernardo.lam@gmail.com,1,1771.8455,487.3845,4,363,11,0,0,1,0,0,1,0,0,0,1,1
2458,complete,Entertainment,Easypay_MA,merry.llewellyn@gmail.com,1,5344.46,205.44,9,192,22,0,0,1,0,1,0,0,1,0,0,1
2503,complete,Appliances,Easypay_MA,florida.west@gmail.com,1,5092.02,456.78,7,250,8,0,0,1,0,1,0,0,0,1,0,1
2522,complete,Appliances,easypay_voucher,nohemi.gano@gmail.com,1,1916.14,307.96,7,369,5,0,0,1,0,1,0,0,0,1,0,1
2569,complete,Men's Fashion,Payaxis,frances.gillock@yahoo.com,1,107.82,11.98,1,269,10,0,1,0,0,0,1,0,1,0,0,1
2578,complete,Entertainment,Easypay,gerald.cheesman@gmail.com,1,941.695,225.005,2,319,11,0,0,0,1,0,1,0,0,1,0,1
2599,complete,Appliances,easypay_voucher,john.blakney@apple.com,1,19023.95,3323.05,26,367,10,0,0,0,1,0,1,0,0,1,0,3
2600,complete,Superstore,cod,hang.fobbs@microsoft.com,1,3978.39,271.51,35,340,16,0,0,0,1,1,0,0,0,1,0,1
2626,complete,Appliances,Easypay,glory.drewes@comcast.net,1,31798.02,1740.28,19,195,5,0,1,0,0,1,0,0,0,0,1,0
2656,complete,Home & Living,Easypay_MA,delpha.milford@bellsouth.net,1,7842.672,852.197,19,122,16,0,0,0,1,1,0,0,0,1,0,3
2672,complete,Mobiles & Tablets,easypay_voucher,wava.piscitelli@yahoo.co.in,1,7554.2,1050,1,366,23,0,0,1,0,1,0,0,0,1,0,1
2731,complete,Women's Fashion,cod,claudio.hemingway@hotmail.com,1,1612.35,30,8,296,15,0,0,0,1,0,1,0,0,1,0,1
2749,complete,Men's Fashion,Easypay,nigel.herrell@comcast.net,1,16308.82,3128.68,35,131,7,0,0,1,0,0,1,0,0,1,0,3
2784,complete,Men's Fashion,Easypay,tyrell.galeana@yahoo.com,1,7053.045,1796.355,78,93,31,0,0,1,0,0,1,1,0,0,0,1
2804,complete,Computing,Payaxis,daniel.strausbaugh@shell.com,1,1979.6,700,4,247,12,0,0,1,0,0,1,0,0,1,0,1
3116,complete,Appliances,easypay_voucher,forest.spruell@gmail.com,1,10137.3,1482.7,9,367,33,0,0,1,0,0,1,1,0,0,0,3
3377,complete,Mobiles & Tablets,cod,seema.soza@gmail.com,1,89245.145,3153.055,75,282,13,0,0,1,0,1,0,1,0,0,0,4
3618,complete,Mobiles & Tablets,Easypay_MA,bennett.cowell@aol.com,1,5806.76,689.64,5,372,6,0,0,1,0,0,1,0,0,0,1,1
3709,complete,Mobiles & Tablets,easypay_voucher,monty.vivanco@hotmail.com,1,8524.06,1463.94,13,368,6,0,0,1,0,0,1,1,0,0,0,3
3732,complete,Home & Living,Easypay,margherita.myres@bellsouth.net,1,14055.5639,1807.5741,49,124,5,0,0,0,1,1,0,0,1,0,0,3
3741,complete,Computing,Payaxis,toney.guglielmo@exxonmobil.com,1,774.06,42.84,6,246,4,0,0,1,0,0,1,0,0,1,0,1
3744,complete,Mobiles & Tablets,Easypay_MA,jose.sheridan@gmail.com,1,39453.987,5705.979,28,227,21,0,0,0,1,0,1,0,0,1,0,0
3753,complete,Mobiles & Tablets,Easypay_MA,son.oehler@yahoo.com,1,2306.55,509.75,8,369,5,0,0,0,1,0,1,1,0,0,0,1
3796,complete,Appliances,easypay_voucher,nicholas.terwilliger@charter.net,1,12183.90997,2252.99003,11,341,13,0,0,1,0,0,1,1,0,0,0,3
3816,complete,Mobiles & Tablets,Easypay,karrie.haslett@aol.com,1,15337.94,2284.86,34,180,17,0,0,0,1,1,0,0,1,0,0,3
3932,complete,Computing,Easypay,tiera.swarey@outlook.com,1,1284.49998,340.00002,7,373,4,0,0,1,0,1,0,0,1,0,0,1
4005,complete,Women's Fashion,Easypay,stewart.kriner@gmail.com,1,119.68,29.92,2,376,5,0,0,1,0,0,1,1,0,0,0,1
4029,complete,Men's Fashion,cod,tamera.hisle@gmail.com,1,3455.53,1419.27,18,227,5,0,0,1,0,1,0,0,0,1,0,1
4049,complete,Beauty & Grooming,Easypay,laurel.rabe@hotmail.com,1,2504.9,413.7,15,268,15,0,0,1,0,1,0,0,0,1,0,1
4166,complete,Appliances,easypay_voucher,lilliana.burleigh@gmail.com,1,4618.29,117.01,5,316,26,0,0,0,1,1,0,1,0,0,0,1
4257,complete,Entertainment,Payaxis,deja.milewski@btinternet.com,1,29719.7,1500,22,380,4,0,0,1,0,1,0,0,1,0,0,0
4260,complete,Appliances,easypay_voucher,henry.haakenson@gmail.com,1,4403.06,225.94,7,230,27,0,0,1,0,0,1,0,1,0,0,1
4379,complete,Entertainment,easypay_voucher,thomasine.batie@shell.com,1,9366.65,905.65,9,173,10,0,0,1,0,1,0,0,0,1,0,3
4382,complete,Beauty & Grooming,Easypay,barton.trice@aol.com,1,4360.68,943.62,19,186,4,0,0,1,0,0,1,0,0,0,1,1
4499,complete,Mobiles & Tablets,Easypay,karri.tuma@aol.com,1,4203.62,631.08,14,124,13,0,0,1,0,1,0,0,0,0,1,1
4512,complete,Men's Fashion,Easypay,ruth.nesmith@bellsouth.net,1,199.68,49.92,2,369,21,0,0,0,1,1,0,0,0,0,1,1
4560,complete,Men's Fashion,Easypay,bradford.hoag@ibm.com,1,1060.335,185.065,14,105,4,0,0,1,0,0,1,0,0,0,1,1
4594,complete,Appliances,easypay_voucher,antonetta.shelor@gmail.com,1,3381.12,1018.08,4,373,10,0,1,0,0,1,0,0,1,0,0,1
4806,complete,Computing,Payaxis,letitia.dority@rediffmail.com,1,1574.1,888.9,1,414,8,0,0,0,1,1,0,0,1,0,0,1
4807,complete,Men's Fashion,Easypay,vance.garrett@gmail.com,1,878.24,219.56,11,372,4,0,0,0,1,0,1,0,1,0,0,1
4854,complete,Women's Fashion,Payaxis,stefan.lambdin@hotmail.com,1,1103.9,540.1,3,362,10,0,0,1,0,0,1,0,0,1,0,1
4923,complete,Kids & Baby,cod,reginald.main@gmail.com,1,1551.603,185.227,18,279,6,0,1,0,0,0,1,0,0,1,0,1
4971,complete,Men's Fashion,cod,thea.ore@bellsouth.net,1,3448.9,40,13,106,9,0,1,0,0,1,0,0,1,0,0,1
5095,complete,Soghaat,cod,reginia.gargano@yahoo.co.in,1,34272.86,837.84,44,223,8,0,1,0,0,1,0,0,1,0,0,0
5206,complete,Appliances,easypay_voucher,becky.hawkinson@gmail.com,1,1737.26,252.74,6,340,22,0,0,0,1,1,0,0,0,1,0,1
5340,complete,Health & Sports,Easypay_MA,darby.delk@gmail.com,1,108.54,12.06,2,369,26,0,1,0,0,1,0,0,0,1,0,1
5381,complete,Appliances,easypay_voucher,delia.stanek@hotmail.co.uk,1,4150.21,988.29,14,207,15,0,0,1,0,1,0,1,0,0,0,1
5438,complete,Entertainment,Easypay_MA,tyrell.silvester@yahoo.com,1,588.08,57.12,7,339,7,0,1,0,0,0,1,0,0,0,1,1
5471,complete,Entertainment,easypay_voucher,hiram.arrowood@rediffmail.com,1,713.34,129.26,1,369,30,0,0,1,0,0,1,0,0,1,0,1
5484,complete,Mobiles & Tablets,easypay_voucher,dominique.spell@yahoo.com,1,603,67,1,369,10,0,1,0,0,0,1,0,0,0,1,1
5497,complete,Mobiles & Tablets,Easypay,alma.wehner@microsoft.com,1,7099.4,1000,8,412,8,0,0,1,0,1,0,0,0,0,1,1
5519,complete,Entertainment,easypay_voucher,chandra.harold@bellsouth.net,1,3631.95,433.55,4,366,18,0,0,1,0,1,0,0,0,1,0,1
5568,complete,Women's Fashion,cod,christoper.humble@aol.com,1,1098.3,100,18,117,7,0,0,1,0,0,1,0,0,1,0,1
5650,complete,Mobiles & Tablets,Easypay,perla.amaral@sbcglobal.net,1,6349.5,400,5,406,8,0,0,1,0,1,0,0,1,0,0,1
5658,complete,Mobiles & Tablets,cod,lavonda.unzueta@gmail.com,1,7638.19,2084.61,9,106,22,0,0,1,0,1,0,0,0,0,1,3
5661,complete,Women's Fashion,Easypay,vesta.almon@yahoo.com,1,494.32,79.88,5,374,4,0,1,0,0,1,0,0,0,1,0,1
5747,complete,Women's Fashion,cod,dolly.burkey@aol.com,1,2540.8,20,14,421,5,0,0,0,1,1,0,1,0,0,0,1
5755,complete,Men's Fashion,Easypay,mariette.ferrer@yahoo.com,1,5269,1433.4,12,368,19,0,0,1,0,1,0,0,0,1,0,1
5763,complete,Mobiles & Tablets,Easypay,rocco.oja@yahoo.com,1,6588.3,840,3,373,11,0,1,0,0,0,1,1,0,0,0,1
5769,complete,Mobiles & Tablets,cod,joel.summerlin@bp.com,1,193798.182,21494.318,216,202,13,0,1,0,0,1,0,0,0,0,1,5
5805,complete,Appliances,Payaxis,tommy.shryock@yahoo.com,1,3424.87,602.63,3,274,6,0,0,0,1,0,1,1,0,0,0,1
5839,complete,Mobiles & Tablets,Easypay_MA,damon.schorr@ibm.com,1,21735.56,2470.74,28,101,31,0,0,1,0,0,1,0,1,0,0,3
5864,complete,Men's Fashion,easypay_voucher,johanna.salters@hotmail.com,1,3280.65,366.95,16,369,11,0,1,0,0,1,0,0,0,1,0,1
5929,complete,Entertainment,Payaxis,edgardo.nyman@gmail.com,1,3333,1500,1,414,7,0,0,1,0,0,1,0,0,1,0,1
6096,complete,Men's Fashion,Easypay_MA,antonia.eckard@gmail.com,1,1737.69,619.01,25,159,39,0,0,1,0,0,1,0,1,0,0,1
6154,complete,Entertainment,Payaxis,sharee.beaupre@ntlworld.com,1,39950.811,10380.489,38,103,32,0,1,0,0,1,0,0,1,0,0,0
6192,complete,Mobiles & Tablets,Payaxis,johnson.ivers@yahoo.com,1,384.8,170.4,6,362,4,0,0,1,0,0,1,1,0,0,0,1
6209,complete,Women's Fashion,cod,benito.converse@ntlworld.com,1,542.8,171,3,261,10,0,0,1,0,0,1,0,0,1,0,1
6245,complete,Computing,Easypay,ted.baumgarten@shell.com,1,3797.28,1736.82,2,369,22,0,0,1,0,0,1,1,0,0,0,1
6259,complete,Entertainment,Easypay,tempie.genao@gmail.com,1,41886.544,4233.406,60,128,8,0,0,1,0,1,0,0,0,0,1,0
6270,complete,Men's Fashion,Easypay,cami.balducci@aol.com,1,3992.61,1093.79,24,267,21,0,1,0,0,1,0,1,0,0,0,1
6294,complete,Entertainment,Payaxis,wilmer.gass@gmail.com,1,48423.864,16904.936,31,107,7,0,0,1,0,0,1,0,0,1,0,4
6332,complete,Mobiles & Tablets,Payaxis,ronald.norberg@aol.com,1,14194.17,5143.83,14,376,17,0,0,0,1,0,1,0,0,1,0,3
6355,complete,Appliances,Easypay,maryalice.rich@msn.com,1,2083.6,640,4,369,26,0,0,1,0,1,0,0,0,1,0,1
6360,complete,Health & Sports,Easypay_MA,fausto.steverson@verizon.net,1,1191.96,272.44,4,369,21,0,1,0,0,0,1,1,0,0,0,1
6378,complete,Soghaat,cod,merle.paladino@hotmail.com,1,2095.6,100,63,184,16,0,0,1,0,0,1,1,0,0,0,1
6383,complete,Home & Living,easypay_voucher,carleen.hutchens@yahoo.com,1,4313.04,318.06,35,106,24,0,1,0,0,1,0,1,0,0,0,1
6414,complete,Computing,easypay_voucher,rashad.allen@hotmail.com,1,5533.905,575.97,8,205,9,0,0,0,1,0,1,0,1,0,0,1
6424,complete,Home & Living,Easypay,ashely.reinke@bellsouth.net,1,265.98,40.92,4,341,25,0,0,1,0,1,0,0,0,0,1,1
6430,complete,Mobiles & Tablets,easypay_voucher,dusty.toscano@verizon.net,1,11983.27,2005.73,9,367,26,0,0,1,0,1,0,0,0,0,1,3
6548,complete,Appliances,Easypay,ellis.curcio@charter.net,1,573.695,113.005,2,368,8,0,0,1,0,0,1,1,0,0,0,1
6563,complete,Appliances,Easypay,lieselotte.gemmill@hotmail.com,1,462.46,14.34,3,374,8,0,0,0,1,1,0,0,1,0,0,1
6575,complete,Beauty & Grooming,Easypay,marylou.mcquaid@gmail.com,1,232,58,3,107,17,0,1,0,0,1,0,0,0,0,1,1
6638,complete,Mobiles & Tablets,Easypay_MA,len.craft@comcast.net,1,2417.703,365.367,19,99,13,0,0,0,1,0,1,1,0,0,0,1
6645,complete,Men's Fashion,Easypay,raymonde.dixon@gmail.com,1,9248.48,1561.92,6,368,37,0,1,0,0,1,0,0,1,0,0,3
6719,complete,Mobiles & Tablets,easypay_voucher,marquis.harkless@yahoo.ca,1,1485.5,370,1,369,15,0,0,0,1,0,1,1,0,0,0,1
6726,complete,Appliances,Easypay,diego.bouley@outlook.com,1,515,100,1,376,10,0,0,0,1,0,1,0,0,1,0,1
6759,complete,Appliances,Easypay,chase.townsley@hotmail.com,1,1209.8,338.6,5,282,6,0,0,0,1,0,1,0,0,0,1,1
6764,complete,Home & Living,Easypay_MA,sherrill.bivona@gmail.com,1,2411.06,353.34,7,372,4,0,0,1,0,1,0,1,0,0,0,1
6830,complete,Entertainment,Easypay,christena.stromain@gmail.com,1,13644.97,2254.33,16,124,4,0,0,0,1,1,0,0,1,0,0,3
6851,complete,Appliances,cod,earlene.daniel@gmail.com,1,1363.74,105.7,25,107,17,0,1,0,0,1,0,0,0,0,1,1
6883,complete,Home & Living,easypay_voucher,mack.brett@gmail.com,1,70.11,7.79,2,371,20,0,0,0,1,0,1,0,0,1,0,1
6902,complete,Mobiles & Tablets,Payaxis,gail.tuthill@gmail.com,1,173.915,7.485,2,244,26,0,0,1,0,1,0,0,1,0,0,1
6996,complete,Entertainment,Payaxis,christian.krum@shell.com,1,2564.6,300,1,283,31,0,0,1,0,0,1,0,0,0,1,1
7064,complete,Computing,Easypay,florinda.crampton@btinternet.com,1,297.33,52.47,1,356,20,0,0,1,0,1,0,0,0,0,1,1
7161,complete,Women's Fashion,Easypay,santiago.perna@verizon.net,1,43689.64992,5608.37008,43,349,8,0,0,1,0,0,1,1,0,0,0,0
7194,complete,Men's Fashion,cod,tyron.mosely@ibm.com,1,5299.9,525,4,103,33,0,0,1,0,0,1,1,0,0,0,1
7291,complete,Mobiles & Tablets,Payaxis,keiko.krone@gmail.com,1,19515.68,3692.32,12,208,8,0,1,0,0,1,0,1,0,0,0,3
7307,complete,Home & Living,Easypay,latoya.meece@aol.com,1,250.50095,44.20605,3,370,17,0,0,0,1,1,0,1,0,0,0,1
7318,complete,Women's Fashion,Easypay,cedrick.mcgahan@gmail.com,1,1781.95,124.5,15,106,10,0,0,0,1,0,1,0,1,0,0,1
7415,complete,Men's Fashion,Easypay,emerson.ransome@charter.net,1,2413.32,596.98,14,227,13,0,0,0,1,0,1,0,0,0,1,1
7446,complete,Mobiles & Tablets,easypay_voucher,concepcion.monzon@gmail.com,1,10770.54,1596.96,8,376,16,0,0,0,1,1,0,0,0,1,0,3
7447,complete,Entertainment,Easypay_MA,fumiko.renteria@gmail.com,1,3484.83,634.47,12,194,7,0,0,1,0,1,0,0,1,0,0,1
7468,complete,Women's Fashion,Easypay,jeannine.zehnder@yahoo.co.in,1,447.36,111.84,2,376,6,0,0,1,0,1,0,1,0,0,0,1
7476,complete,Men's Fashion,cod,nicholas.gibbon@hotmail.com,1,450.2,20,12,183,4,0,0,1,0,0,1,0,1,0,0,1
7477,complete,Kids & Baby,Easypay,filiberto.defalco@hotmail.com,1,19201.775,4274.425,22,236,9,0,1,0,0,0,1,1,0,0,0,3
7478,complete,Men's Fashion,Payaxis,chloe.anselmo@yahoo.com,1,8160.54,3680.56,27,96,28,0,0,1,0,1,0,0,0,1,0,3
7530,complete,Home & Living,Payaxis,sondra.dunkelberger@gmail.com,1,287.91,31.99,1,267,19,0,0,1,0,1,0,1,0,0,0,1
7546,complete,Home & Living,easypay_voucher,jamison.novak@yahoo.com,1,11104.576,1359.224,51,108,19,0,1,0,0,0,1,0,0,0,1,3
7554,complete,Mobiles & Tablets,easypay_voucher,timmy.murrah@hotmail.co.uk,1,29731.335,5331.965,13,227,33,0,0,0,1,0,1,1,0,0,0,0
7561,complete,Entertainment,easypay_voucher,karl.santora@gmail.com,1,139727.184,30571.316,30,132,33,0,1,0,0,0,1,0,0,1,0,2
7562,complete,Men's Fashion,cod,herschel.calvillo@hotmail.com,1,19404.27,3444.73,24,106,6,0,0,1,0,0,1,0,0,0,1,3
