cust_id,status,E Mail,respond_to_discount,total_spent,total_discount_received,no_of_transactions,days_till_last_interaction,years_of_stay,age_binned_Children,age_binned_Younger_Age,age_binned_Middle_Age,age_binned_Old_age,Gender_F,Gender_M,Region_Midwest,Region_Northeast,Region_South,Region_West,cluster
1401,complete,eloy.lumsden@aol.com,1,5275.44,453.96,3,369,12,0,0,1,0,0,1,0,0,0,1,1
1425,complete,leeanna.hutzler@gmail.com,1,2417.22,11.98,10,245,15,0,1,0,0,1,0,1,0,0,0,1
1462,complete,garret.oshea@aol.com,1,46774.77,7220.73,14,260,21,0,0,0,1,0,1,0,0,0,1,4
1530,complete,dominick.ureno@hotmail.com,1,1523.94,27.96,5,157,7,0,0,1,0,0,1,0,0,0,1,1
1562,complete,antione.lui@gmail.com,1,36423.14,251.88,22,109,19,0,0,1,0,0,1,1,0,0,0,0
1570,complete,lionel.gamez@yahoo.com,1,9921.48,1986.92,5,369,16,0,0,1,0,0,1,1,0,0,0,3
1611,complete,lorean.secrest@bellsouth.net,1,1100,100,2,376,14,0,0,1,0,1,0,0,1,0,0,1
1644,complete,mose.prevatte@gmail.com,1,995.94,130.66,4,372,14,0,0,1,0,0,1,0,1,0,0,1
1647,complete,norris.earle@hotmail.com,1,1735.36,307.84,2,138,26,0,0,1,0,0,1,1,0,0,0,1
1735,complete,arnold.rook@outlook.com,1,843.32,77.68,7,199,16,0,1,0,0,0,1,0,0,1,0,1
1743,complete,ora.henthorn@yahoo.com,1,12754.985,1953.415,15,127,22,0,0,1,0,1,0,1,0,0,0,3
1843,complete,alan.novoa@walmart.com,1,5717.769,351.431,7,100,25,0,0,1,0,0,1,0,1,0,0,1
1898,complete,gonzalo.metzinger@ibm.com,1,9200.03,1126.77,16,106,17,0,0,1,0,0,1,0,1,0,0,3
2066,complete,ali.solberg@gmail.com,1,5014.3,1261.2,4,370,13,0,0,0,1,0,1,0,0,1,0,1
2083,complete,belinda.greeley@sbcglobal.net,1,5903.38,1525.22,10,355,4,0,1,0,0,1,0,0,0,0,1,1
2090,complete,torie.rainville@btinternet.com,1,5695.6,200,5,221,21,0,0,1,0,1,0,0,0,1,0,1
2110,complete,dominic.nelson@msn.com,1,16726.6,900.3,3,227,7,0,0,1,0,0,1,0,0,1,0,3
2119,complete,thaddeus.veatch@yahoo.ca,1,16941.17,1530.53,18,375,15,0,0,1,0,0,1,0,0,0,1,3
2151,complete,evangeline.brunton@hotmail.co.uk,1,3591,609,3,376,6,0,0,0,1,1,0,1,0,0,0,1
2297,complete,harold.ingle@charter.net,1,39102.3,5377.6,32,201,4,0,0,1,0,0,1,0,1,0,0,0
2301,complete,josue.tarbell@gmail.com,1,5735.14,843.96,5,358,5,0,0,1,0,0,1,1,0,0,0,1
2322,complete,charity.rueb@gmail.com,1,64074.61,9520.49,33,198,22,0,0,1,0,1,0,0,1,0,0,4
2325,complete,franklin.linhart@yahoo.com,1,568.125,67.775,14,416,27,0,0,0,1,0,1,0,0,1,0,1
2371,complete,colton.boltz@gmail.com,1,6248.16,1374.84,10,320,5,0,0,0,1,0,1,0,0,1,0,1
2435,complete,ty.staub@yahoo.ca,1,1829.3,280,1,376,9,0,0,1,0,0,1,1,0,0,0,1
2447,complete,bernardo.lam@gmail.com,1,1771.8455,487.3845,4,363,11,0,0,1,0,0,1,0,0,0,1,1
2458,complete,merry.llewellyn@gmail.com,1,5344.46,205.44,9,192,22,0,0,1,0,1,0,0,1,0,0,1
2503,complete,florida.west@gmail.com,1,5092.02,456.78,7,250,8,0,0,1,0,1,0,0,0,1,0,1
2522,complete,nohemi.gano@gmail.com,1,1916.14,307.96,7,369,5,0,0,1,0,1,0,0,0,1,0,1
2569,complete,frances.gillock@yahoo.com,1,107.82,11.98,1,269,10,0,1,0,0,0,1,0,1,0,0,1
2578,complete,gerald.cheesman@gmail.com,1,941.695,225.005,2,319,11,0,0,0,1,0,1,0,0,1,0,1
2599,complete,john.blakney@apple.com,1,19023.95,3323.05,26,367,10,0,0,0,1,0,1,0,0,1,0,3
2600,complete,hang.fobbs@microsoft.com,1,3978.39,271.51,35,340,16,0,0,0,1,1,0,0,0,1,0,1
2626,complete,glory.drewes@comcast.net,1,31798.02,1740.28,19,195,5,0,1,0,0,1,0,0,0,0,1,0
2656,complete,delpha.milford@bellsouth.net,1,7842.672,852.197,19,122,16,0,0,0,1,1,0,0,0,1,0,3
2672,complete,wava.piscitelli@yahoo.co.in,1,7554.2,1050,1,366,23,0,0,1,0,1,0,0,0,1,0,1
2731,complete,claudio.hemingway@hotmail.com,1,1612.35,30,8,296,15,0,0,0,1,0,1,0,0,1,0,1
2749,complete,nigel.herrell@comcast.net,1,16308.82,3128.68,35,131,7,0,0,1,0,0,1,0,0,1,0,3
2784,complete,tyrell.galeana@yahoo.com,1,7053.045,1796.355,78,93,31,0,0,1,0,0,1,1,0,0,0,1
2804,complete,daniel.strausbaugh@shell.com,1,1979.6,700,4,247,12,0,0,1,0,0,1,0,0,1,0,1
3116,complete,forest.spruell@gmail.com,1,10137.3,1482.7,9,367,33,0,0,1,0,0,1,1,0,0,0,3
3377,complete,seema.soza@gmail.com,1,89245.145,3153.055,75,282,13,0,0,1,0,1,0,1,0,0,0,4
3618,complete,bennett.cowell@aol.com,1,5806.76,689.64,5,372,6,0,0,1,0,0,1,0,0,0,1,1
3709,complete,monty.vivanco@hotmail.com,1,8524.06,1463.94,13,368,6,0,0,1,0,0,1,1,0,0,0,3
3732,complete,margherita.myres@bellsouth.net,1,14055.5639,1807.5741,49,124,5,0,0,0,1,1,0,0,1,0,0,3
3741,complete,toney.guglielmo@exxonmobil.com,1,774.06,42.84,6,246,4,0,0,1,0,0,1,0,0,1,0,1
3744,complete,jose.sheridan@gmail.com,1,39453.987,5705.979,28,227,21,0,0,0,1,0,1,0,0,1,0,0
3753,complete,son.oehler@yahoo.com,1,2306.55,509.75,8,369,5,0,0,0,1,0,1,1,0,0,0,1
3796,complete,nicholas.terwilliger@charter.net,1,12183.90997,2252.99003,11,341,13,0,0,1,0,0,1,1,0,0,0,3
3816,complete,karrie.haslett@aol.com,1,15337.94,2284.86,34,180,17,0,0,0,1,1,0,0,1,0,0,3
3932,complete,tiera.swarey@outlook.com,1,1284.49998,340.00002,7,373,4,0,0,1,0,1,0,0,1,0,0,1
4005,complete,stewart.kriner@gmail.com,1,119.68,29.92,2,376,5,0,0,1,0,0,1,1,0,0,0,1
4029,complete,tamera.hisle@gmail.com,1,3455.53,1419.27,18,227,5,0,0,1,0,1,0,0,0,1,0,1
4049,complete,laurel.rabe@hotmail.com,1,2504.9,413.7,15,268,15,0,0,1,0,1,0,0,0,1,0,1
4166,complete,lilliana.burleigh@gmail.com,1,4618.29,117.01,5,316,26,0,0,0,1,1,0,1,0,0,0,1
4257,complete,deja.milewski@btinternet.com,1,29719.7,1500,22,380,4,0,0,1,0,1,0,0,1,0,0,0
4260,complete,henry.haakenson@gmail.com,1,4403.06,225.94,7,230,27,0,0,1,0,0,1,0,1,0,0,1
4379,complete,thomasine.batie@shell.com,1,9366.65,905.65,9,173,10,0,0,1,0,1,0,0,0,1,0,3
4382,complete,barton.trice@aol.com,1,4360.68,943.62,19,186,4,0,0,1,0,0,1,0,0,0,1,1
4499,complete,karri.tuma@aol.com,1,4203.62,631.08,14,124,13,0,0,1,0,1,0,0,0,0,1,1
4512,complete,ruth.nesmith@bellsouth.net,1,199.68,49.92,2,369,21,0,0,0,1,1,0,0,0,0,1,1
4560,complete,bradford.hoag@ibm.com,1,1060.335,185.065,14,105,4,0,0,1,0,0,1,0,0,0,1,1
4594,complete,antonetta.shelor@gmail.com,1,3381.12,1018.08,4,373,10,0,1,0,0,1,0,0,1,0,0,1
4806,complete,letitia.dority@rediffmail.com,1,1574.1,888.9,1,414,8,0,0,0,1,1,0,0,1,0,0,1
4807,complete,vance.garrett@gmail.com,1,878.24,219.56,11,372,4,0,0,0,1,0,1,0,1,0,0,1
4854,complete,stefan.lambdin@hotmail.com,1,1103.9,540.1,3,362,10,0,0,1,0,0,1,0,0,1,0,1
4923,complete,reginald.main@gmail.com,1,1551.603,185.227,18,279,6,0,1,0,0,0,1,0,0,1,0,1
4971,complete,thea.ore@bellsouth.net,1,3448.9,40,13,106,9,0,1,0,0,1,0,0,1,0,0,1
5095,complete,reginia.gargano@yahoo.co.in,1,34272.86,837.84,44,223,8,0,1,0,0,1,0,0,1,0,0,0
5206,complete,becky.hawkinson@gmail.com,1,1737.26,252.74,6,340,22,0,0,0,1,1,0,0,0,1,0,1
5340,complete,darby.delk@gmail.com,1,108.54,12.06,2,369,26,0,1,0,0,1,0,0,0,1,0,1
5381,complete,delia.stanek@hotmail.co.uk,1,4150.21,988.29,14,207,15,0,0,1,0,1,0,1,0,0,0,1
5438,complete,tyrell.silvester@yahoo.com,1,588.08,57.12,7,339,7,0,1,0,0,0,1,0,0,0,1,1
5471,complete,hiram.arrowood@rediffmail.com,1,713.34,129.26,1,369,30,0,0,1,0,0,1,0,0,1,0,1
5484,complete,dominique.spell@yahoo.com,1,603,67,1,369,10,0,1,0,0,0,1,0,0,0,1,1
5497,complete,alma.wehner@microsoft.com,1,7099.4,1000,8,412,8,0,0,1,0,1,0,0,0,0,1,1
5519,complete,chandra.harold@bellsouth.net,1,3631.95,433.55,4,366,18,0,0,1,0,1,0,0,0,1,0,1
5568,complete,christoper.humble@aol.com,1,1098.3,100,18,117,7,0,0,1,0,0,1,0,0,1,0,1
5650,complete,perla.amaral@sbcglobal.net,1,6349.5,400,5,406,8,0,0,1,0,1,0,0,1,0,0,1
5658,complete,lavonda.unzueta@gmail.com,1,7638.19,2084.61,9,106,22,0,0,1,0,1,0,0,0,0,1,3
5661,complete,vesta.almon@yahoo.com,1,494.32,79.88,5,374,4,0,1,0,0,1,0,0,0,1,0,1
5747,complete,dolly.burkey@aol.com,1,2540.8,20,14,421,5,0,0,0,1,1,0,1,0,0,0,1
5755,complete,mariette.ferrer@yahoo.com,1,5269,1433.4,12,368,19,0,0,1,0,1,0,0,0,1,0,1
5763,complete,rocco.oja@yahoo.com,1,6588.3,840,3,373,11,0,1,0,0,0,1,1,0,0,0,1
5769,complete,joel.summerlin@bp.com,1,193798.182,21494.318,216,202,13,0,1,0,0,1,0,0,0,0,1,5
5805,complete,tommy.shryock@yahoo.com,1,3424.87,602.63,3,274,6,0,0,0,1,0,1,1,0,0,0,1
5839,complete,damon.schorr@ibm.com,1,21735.56,2470.74,28,101,31,0,0,1,0,0,1,0,1,0,0,3
5864,complete,johanna.salters@hotmail.com,1,3280.65,366.95,16,369,11,0,1,0,0,1,0,0,0,1,0,1
5929,complete,edgardo.nyman@gmail.com,1,3333,1500,1,414,7,0,0,1,0,0,1,0,0,1,0,1
6096,complete,antonia.eckard@gmail.com,1,1737.69,619.01,25,159,39,0,0,1,0,0,1,0,1,0,0,1
6154,complete,sharee.beaupre@ntlworld.com,1,39950.811,10380.489,38,103,32,0,1,0,0,1,0,0,1,0,0,0
6192,complete,johnson.ivers@yahoo.com,1,384.8,170.4,6,362,4,0,0,1,0,0,1,1,0,0,0,1
6209,complete,benito.converse@ntlworld.com,1,542.8,171,3,261,10,0,0,1,0,0,1,0,0,1,0,1
6245,complete,ted.baumgarten@shell.com,1,3797.28,1736.82,2,369,22,0,0,1,0,0,1,1,0,0,0,1
6259,complete,tempie.genao@gmail.com,1,41886.544,4233.406,60,128,8,0,0,1,0,1,0,0,0,0,1,0
6270,complete,cami.balducci@aol.com,1,3992.61,1093.79,24,267,21,0,1,0,0,1,0,1,0,0,0,1
6294,complete,wilmer.gass@gmail.com,1,48423.864,16904.936,31,107,7,0,0,1,0,0,1,0,0,1,0,4
6332,complete,ronald.norberg@aol.com,1,14194.17,5143.83,14,376,17,0,0,0,1,0,1,0,0,1,0,3
6355,complete,maryalice.rich@msn.com,1,2083.6,640,4,369,26,0,0,1,0,1,0,0,0,1,0,1
6360,complete,fausto.steverson@verizon.net,1,1191.96,272.44,4,369,21,0,1,0,0,0,1,1,0,0,0,1
6378,complete,merle.paladino@hotmail.com,1,2095.6,100,63,184,16,0,0,1,0,0,1,1,0,0,0,1
6383,complete,carleen.hutchens@yahoo.com,1,4313.04,318.06,35,106,24,0,1,0,0,1,0,1,0,0,0,1
6414,complete,rashad.allen@hotmail.com,1,5533.905,575.97,8,205,9,0,0,0,1,0,1,0,1,0,0,1
6424,complete,ashely.reinke@bellsouth.net,1,265.98,40.92,4,341,25,0,0,1,0,1,0,0,0,0,1,1
6430,complete,dusty.toscano@verizon.net,1,11983.27,2005.73,9,367,26,0,0,1,0,1,0,0,0,0,1,3
6548,complete,ellis.curcio@charter.net,1,573.695,113.005,2,368,8,0,0,1,0,0,1,1,0,0,0,1
6563,complete,lieselotte.gemmill@hotmail.com,1,462.46,14.34,3,374,8,0,0,0,1,1,0,0,1,0,0,1
6575,complete,marylou.mcquaid@gmail.com,1,232,58,3,107,17,0,1,0,0,1,0,0,0,0,1,1
6638,complete,len.craft@comcast.net,1,2417.703,365.367,19,99,13,0,0,0,1,0,1,1,0,0,0,1
6645,complete,raymonde.dixon@gmail.com,1,9248.48,1561.92,6,368,37,0,1,0,0,1,0,0,1,0,0,3
6719,complete,marquis.harkless@yahoo.ca,1,1485.5,370,1,369,15,0,0,0,1,0,1,1,0,0,0,1
6726,complete,diego.bouley@outlook.com,1,515,100,1,376,10,0,0,0,1,0,1,0,0,1,0,1
6759,complete,chase.townsley@hotmail.com,1,1209.8,338.6,5,282,6,0,0,0,1,0,1,0,0,0,1,1
6764,complete,sherrill.bivona@gmail.com,1,2411.06,353.34,7,372,4,0,0,1,0,1,0,1,0,0,0,1
6830,complete,christena.stromain@gmail.com,1,13644.97,2254.33,16,124,4,0,0,0,1,1,0,0,1,0,0,3
6851,complete,earlene.daniel@gmail.com,1,1363.74,105.7,25,107,17,0,1,0,0,1,0,0,0,0,1,1
6883,complete,mack.brett@gmail.com,1,70.11,7.79,2,371,20,0,0,0,1,0,1,0,0,1,0,1
6902,complete,gail.tuthill@gmail.com,1,173.915,7.485,2,244,26,0,0,1,0,1,0,0,1,0,0,1
6996,complete,christian.krum@shell.com,1,2564.6,300,1,283,31,0,0,1,0,0,1,0,0,0,1,1
7064,complete,florinda.crampton@btinternet.com,1,297.33,52.47,1,356,20,0,0,1,0,1,0,0,0,0,1,1
7161,complete,santiago.perna@verizon.net,1,43689.64992,5608.37008,43,349,8,0,0,1,0,0,1,1,0,0,0,0
7194,complete,tyron.mosely@ibm.com,1,5299.9,525,4,103,33,0,0,1,0,0,1,1,0,0,0,1
7291,complete,keiko.krone@gmail.com,1,19515.68,3692.32,12,208,8,0,1,0,0,1,0,1,0,0,0,3
7307,complete,latoya.meece@aol.com,1,250.50095,44.20605,3,370,17,0,0,0,1,1,0,1,0,0,0,1
7318,complete,cedrick.mcgahan@gmail.com,1,1781.95,124.5,15,106,10,0,0,0,1,0,1,0,1,0,0,1
7415,complete,emerson.ransome@charter.net,1,2413.32,596.98,14,227,13,0,0,0,1,0,1,0,0,0,1,1
7446,complete,concepcion.monzon@gmail.com,1,10770.54,1596.96,8,376,16,0,0,0,1,1,0,0,0,1,0,3
7447,complete,fumiko.renteria@gmail.com,1,3484.83,634.47,12,194,7,0,0,1,0,1,0,0,1,0,0,1
7468,complete,jeannine.zehnder@yahoo.co.in,1,447.36,111.84,2,376,6,0,0,1,0,1,0,1,0,0,0,1
7476,complete,nicholas.gibbon@hotmail.com,1,450.2,20,12,183,4,0,0,1,0,0,1,0,1,0,0,1
7477,complete,filiberto.defalco@hotmail.com,1,19201.775,4274.425,22,236,9,0,1,0,0,0,1,1,0,0,0,3
7478,complete,chloe.anselmo@yahoo.com,1,8160.54,3680.56,27,96,28,0,0,1,0,1,0,0,0,1,0,3
7530,complete,sondra.dunkelberger@gmail.com,1,287.91,31.99,1,267,19,0,0,1,0,1,0,1,0,0,0,1
7546,complete,jamison.novak@yahoo.com,1,11104.576,1359.224,51,108,19,0,1,0,0,0,1,0,0,0,1,3
7554,complete,timmy.murrah@hotmail.co.uk,1,29731.335,5331.965,13,227,33,0,0,0,1,0,1,1,0,0,0,0
7561,complete,karl.santora@gmail.com,1,139727.184,30571.316,30,132,33,0,1,0,0,0,1,0,0,1,0,2
7562,complete,herschel.calvillo@hotmail.com,1,19404.27,3444.73,24,106,6,0,0,1,0,0,1,0,0,0,1,3
7584,complete,verona.viveiros@hotmail.com,1,9310.24,2304.36,33,180,5,0,1,0,0,1,0,0,0,1,0,3
7585,complete,santos.greenstein@ibm.com,1,499.04,124.76,2,374,10,0,0,0,1,1,0,0,1,0,0,1
7607,complete,caryn.nourse@aol.com,1,60477.96,13384.94,15,366,23,0,0,0,1,1,0,0,0,0,1,4
7627,complete,maryanna.mcnett@charter.net,1,3179.26,667.44,9,238,11,0,0,1,0,1,0,0,0,0,1,1
7640,complete,ardis.claytor@gmail.com,1,597.721,328.779,5,196,8,0,0,1,0,1,0,0,0,1,0,1
7653,complete,rory.hickman@comcast.net,1,7997.28678,1639.90922,65,187,37,0,1,0,0,0,1,0,0,0,1,3
7656,complete,jody.risk@apple.com,1,1223.99,160.21,17,157,5,0,1,0,0,0,1,0,0,0,1,1
7669,complete,leonora.courtois@yahoo.com,1,2636.475,42,18,177,17,0,1,0,0,1,0,1,0,0,0,1
7673,complete,willis.belote@hotmail.com,1,13524.8112,2535.7528,4,369,13,0,0,1,0,0,1,0,1,0,0,3
7685,complete,sammy.noyes@gmail.com,1,2176.7725,555.2025,12,107,31,0,0,1,0,0,1,1,0,0,0,1
7728,complete,franklyn.dumas@aol.com,1,849.9,110,1,433,5,0,0,0,1,0,1,0,0,1,0,1
7796,complete,natalie.griffeth@gmail.com,1,489.9,100,1,390,6,0,0,1,0,1,0,0,0,1,0,1
7808,complete,luis.hurtt@gmail.com,1,47494.909,2338.191,27,194,8,0,0,1,0,1,0,0,0,0,1,4
7810,complete,corey.wegner@gmail.com,1,10375.76,1631.64,8,193,7,0,0,1,0,0,1,0,0,0,1,3
7829,complete,jimmie.ocasio@comcast.net,1,722.16,80.24,12,369,9,0,0,0,1,0,1,1,0,0,0,1
7851,complete,carmen.mcduff@hotmail.com,1,351.52,66.88,5,345,20,0,0,0,1,1,0,0,0,0,1,1
7903,complete,garland.waldrop@bp.com,1,4683.2,580,1,284,5,0,0,1,0,0,1,0,1,0,0,1
7905,complete,eliseo.masuda@gmail.com,1,1828.9,300,1,414,29,0,0,1,0,0,1,1,0,0,0,1
7915,complete,julie.mckechnie@gmail.com,1,5589.912,1038.028,23,368,5,0,0,1,0,1,0,0,0,0,1,1
7930,complete,allegra.anstett@gmail.com,1,38919.567,1542.133,78,105,18,0,0,1,0,1,0,1,0,0,0,0
7946,complete,brendon.culler@outlook.com,1,13714.40618,5382.90782,34,108,15,0,0,1,0,0,1,0,0,1,0,3
7957,complete,mariano.doolan@comcast.net,1,15395.015,2661.935,16,208,5,0,0,1,0,0,1,1,0,0,0,3
7973,complete,oswaldo.shafer@shaw.ca,1,7576.18,1011.72,13,108,29,0,0,1,0,0,1,0,0,1,0,1
7983,complete,vannesa.larsen@aol.com,1,5540.52,1990.08,3,370,16,0,0,1,0,1,0,0,0,0,1,1
8005,complete,augustus.selig@walmart.com,1,35691.50596,4243.09404,104,106,4,0,0,1,0,0,1,1,0,0,0,0
8006,complete,kathie.golder@gmail.com,1,217.44,54.36,1,369,24,0,1,0,0,1,0,0,0,1,0,1
8040,complete,al.dummer@charter.net,1,24686.774,2685.626,22,106,15,0,0,1,0,0,1,0,0,1,0,0
8066,complete,staci.messmer@hotmail.com,1,40866.0145,7239.0755,101,106,11,0,1,0,0,1,0,0,0,1,0,0
8086,complete,randall.guss@charter.net,1,439.8,48.2,8,253,5,0,0,0,1,0,1,1,0,0,0,1
8112,complete,angeline.lisi@msn.com,1,4991.42,928.58,15,138,7,0,1,0,0,1,0,0,0,1,0,1
8118,complete,stacey.grey@yahoo.co.in,1,48281,11750.3,8,258,5,0,0,1,0,0,1,0,0,1,0,4
8119,complete,annabell.chambless@hotmail.com,1,1279.42,225.78,1,369,6,0,1,0,0,1,0,0,1,0,0,1
8120,complete,luther.grimsley@aol.com,1,63760.198,8774.902,48,129,9,0,0,1,0,0,1,0,0,0,1,4
8123,complete,clifford.sterner@gmail.com,1,44725.87578,2169.07322,125,92,23,0,0,1,0,0,1,1,0,0,0,0
8141,complete,brigid.troutt@gmail.com,1,4656.78,2007.12,7,383,14,0,0,0,1,1,0,0,0,1,0,1
8148,complete,guy.doner@gmail.com,1,2648.96,787.24,7,372,4,0,0,1,0,0,1,0,0,1,0,1
8172,complete,merlin.dalessandro@bellsouth.net,1,2999.98,530.32,12,237,4,0,0,1,0,0,1,0,0,1,0,1
8205,complete,marielle.jennings@aol.com,1,1123.6,216,4,301,4,0,0,1,0,1,0,0,1,0,0,1
8208,complete,errol.cosgrove@yahoo.com,1,463.52,115.88,3,367,8,0,0,0,1,0,1,0,0,1,0,1
8212,complete,magda.villafane@hotmail.com,1,1118.248,519.812,4,227,15,0,0,1,0,1,0,1,0,0,0,1
8224,complete,tatiana.parkhurst@microsoft.com,1,1262.56,334.84,9,373,11,0,0,1,0,1,0,0,0,0,1,1
8228,complete,chauncey.sim@hotmail.co.uk,1,140339.298,18291.902,90,103,34,0,0,0,1,0,1,0,1,0,0,2
8240,complete,irving.brawn@yahoo.com,1,86967.91,17533.09,95,106,15,0,0,1,0,0,1,1,0,0,0,4
